REG;Région;DEP;CODCAN;CAN;Canton;NBCOM;PMUN;PTOT
84;Auvergne-Rhône-Alpes;42;10;4210;Rive-de-Gier;11;43908;44415
84;Auvergne-Rhône-Alpes;42;11;4211;Roanne-1;2;29618;30326
84;Auvergne-Rhône-Alpes;42;12;4212;Roanne-2;4;29903;30450
84;Auvergne-Rhône-Alpes;42;13;4213;Saint-Chamond;2;39913;40307
84;Auvergne-Rhône-Alpes;42;14;4214;Saint-Etienne-1;1;39296;39736
84;Auvergne-Rhône-Alpes;42;15;4215;Saint-Etienne-2;3;36350;36640
84;Auvergne-Rhône-Alpes;42;16;4216;Saint-Etienne-3;3;42181;42607
84;Auvergne-Rhône-Alpes;42;17;4217;Saint-Etienne-4;2;36394;36768
84;Auvergne-Rhône-Alpes;42;18;4218;Saint-Etienne-5;3;35332;35634
84;Auvergne-Rhône-Alpes;42;19;4219;Saint-Etienne-6;1;39881;40415
84;Auvergne-Rhône-Alpes;42;20;4220;Saint-Just-Saint-Rambert;18;45341;46253
84;Auvergne-Rhône-Alpes;42;21;4221;Sorbiers;13;35113;35782
84;Auvergne-Rhône-Alpes;43;01;4301;Aurec-sur-Loire;4;14726;14950
84;Auvergne-Rhône-Alpes;43;02;4302;Bas-en-Basset;9;13361;13637
84;Auvergne-Rhône-Alpes;43;03;4303;Boutières;12;12532;12819
84;Auvergne-Rhône-Alpes;43;04;4304;Brioude;12;13149;13833
84;Auvergne-Rhône-Alpes;43;05;4305;Les Deux Rivières et Vallées;5;14085;14341
84;Auvergne-Rhône-Alpes;43;06;4306;Emblavez-et-Meygal;14;12856;13118
84;Auvergne-Rhône-Alpes;43;07;4307;Gorges de l'Allier-Gévaudan;26;9166;9463
84;Auvergne-Rhône-Alpes;43;08;4308;Mézenc;21;11288;11560
84;Auvergne-Rhône-Alpes;43;09;4309;Monistrol-sur-Loire;4;14126;14690
84;Auvergne-Rhône-Alpes;43;10;4310;Pays de Lafayette;41;9149;9387
84;Auvergne-Rhône-Alpes;43;11;4311;Plateau du Haut-Velay granitique;26;9444;9635
84;Auvergne-Rhône-Alpes;43;12;4312;Le Puy-en-Velay-1;4;12642;12953
84;Auvergne-Rhône-Alpes;43;13;4313;Le Puy-en-Velay-2;6;13041;13425
84;Auvergne-Rhône-Alpes;43;14;4314;Le Puy-en-Velay-3;4;11282;11821
84;Auvergne-Rhône-Alpes;43;15;4315;Le Puy-en-Velay-4;3;11242;11784
84;Auvergne-Rhône-Alpes;43;16;4316;Saint-Paulien;18;10284;10515
84;Auvergne-Rhône-Alpes;43;17;4317;Sainte-Florine;21;11410;11671
84;Auvergne-Rhône-Alpes;43;18;4318;Velay volcanique;23;10885;11230
84;Auvergne-Rhône-Alpes;43;19;4319;Yssingeaux;7;12616;13148
52;Pays de la Loire;44;01;4401;Ancenis-Saint-Géréon;12;46535;47578
52;Pays de la Loire;44;02;4402;La Baule-Escoublac;6;46405;47700
52;Pays de la Loire;44;03;4403;Blain;14;55746;56743
52;Pays de la Loire;44;04;4404;Carquefou;4;50132;51145
52;Pays de la Loire;44;05;4405;La Chapelle-sur-Erdre;6;54916;56132
52;Pays de la Loire;44;06;4406;Châteaubriant;19;33480;34401
52;Pays de la Loire;44;07;4407;Clisson;12;41757;43011
52;Pays de la Loire;44;08;4408;Guémené-Penfao;19;36831;37779
52;Pays de la Loire;44;09;4409;Guérande;10;51133;52412
52;Pays de la Loire;44;10;4410;Machecoul-Saint-Même;13;42019;42825
52;Pays de la Loire;44;11;4411;Nantes-1;1;43957;44912
52;Pays de la Loire;44;12;4412;Nantes-2;1;43074;43815
52;Pays de la Loire;44;13;4413;Nantes-3;1;55429;56208
52;Pays de la Loire;44;14;4414;Nantes-4;1;38865;39481
52;Pays de la Loire;44;15;4415;Nantes-5;1;43001;43415
52;Pays de la Loire;44;16;4416;Nantes-6;1;47769;48515
52;Pays de la Loire;44;17;4417;Nantes-7;1;51109;51798
52;Pays de la Loire;44;18;4418;Nort-sur-Erdre;14;51759;52712
52;Pays de la Loire;44;19;4419;Pontchâteau;13;49501;50518
52;Pays de la Loire;44;20;4420;Pornic;8;41560;42379
52;Pays de la Loire;44;21;4421;Rezé-1;6;42428;43090
52;Pays de la Loire;44;22;4422;Rezé-2;1;37977;38630
52;Pays de la Loire;44;23;4423;Saint-Brevin-les-Pins;9;48522;49763
52;Pays de la Loire;44;24;4424;Saint-Herblain-1;4;61228;62126
52;Pays de la Loire;44;25;4425;Saint-Herblain-2;2;51880;52818
52;Pays de la Loire;44;26;4426;Saint-Nazaire-1;1;49806;51179
52;Pays de la Loire;44;27;4427;Saint-Nazaire-2;6;52194;52878
52;Pays de la Loire;44;28;4428;Saint-Philbert-de-Grand-Lieu;12;51356;52265
52;Pays de la Loire;44;29;4429;Saint-Sébastien-sur-Loire;3;43796;44824
52;Pays de la Loire;44;30;4430;Vallet;11;49510;50696
52;Pays de la Loire;44;31;4431;Vertou;5;44131;45085
24;Centre-Val de Loire;45;01;4501;Beaugency;13;26724;27326
24;Centre-Val de Loire;45;02;4502;Châlette-sur-Loing;6;32469;33416
